Ticker,Name,Weight,Shares,Price,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
LYB UN Equity,LyondellBasell Industries NV,--,--,54.08,,,,,,,,,,,,,
AXP UN Equity,American Express Co,--,--,292.72,,,,,,,,,,,,,
VZ UN Equity,Verizon Communications Inc,--,--,42.94,,,,,,,,,,,,,
TPL UN Equity,Texas Pacific Land Corp,--,--,936.33,,,,,,,,,,,,,
AVGO UW Equity,Broadcom Inc,--,--,288.255,,,,,,,,,,,,,
BA UN Equity,Boeing Co/The,--,--,220.46,,,,,,,,,,,,,
SOLV UN Equity,Solventum Corp,--,--,72.07,,,,,,,,,,,,,
CAT UN Equity,Caterpillar Inc,--,--,427.16,,,,,,,,,,,,,
JPM UN Equity,JPMorgan Chase & Co,--,--,289.71,,,,,,,,,,,,,
CVX UN Equity,Chevron Corp,--,--,151.07,,,,,,Proportion of Nas,,,,,,,
KO UN Equity,Coca-Cola Co/The,--,--,69.005,,,,,,,Total Obs at 2010,2010.0,2013.0,2015.0,2018.0,2020.0,2022.0
ABBV UN Equity,AbbVie Inc,--,--,196.03,,,,,,mkt cap,748,0.3449197860962567,0.17798594847775176,0.13544018058690746,0.09347826086956522,0.05450733752620545,0.024439918533604887
DIS UN Equity,Walt Disney Co/The,--,--,116.17,,,,,,prices,776,0.2963917525773196,0.20623501199040767,0.15898617511520738,0.10792951541850221,0.06342494714587738,0.03497942386831276
CPAY UN Equity,Corpay Inc,--,--,313.37,,,,,,total_ret,774,0.2958656330749354,0.20552884615384615,0.1581986143187067,0.10828729281767956,0.06362672322375397,0.03508771929824561
EXR UN Equity,Extra Space Storage Inc,--,--,139.06,,,,,,BtM,768,0.3098958333333333,0.2179176755447942,0.17523364485981308,0.11777777777777777,0.07249466950959488,0.04791666666666667
XOM UN Equity,Exxon Mobil Corp,--,--,109.7,,,,,,EtP,752,0.3377659574468085,0.23891625615763548,0.18912529550827423,0.13800904977375567,0.08405172413793104,0.05230125523012552
PSX UN Equity,Phillips 66,--,--,119.48,,,,,,ESG,0,,,,0.09586056644880174,0.07249466950959488,0.012072434607645875
GE UN Equity,General Electric Co,--,--,268.58,,,,,,,,,,,,,
HPQ UN Equity,HP Inc,--,--,24.23,,,,,,,,,,,,,
HD UN Equity,Home Depot Inc/The,--,--,372.83,,,,,,,,,,,,,
MPWR UW Equity,Monolithic Power Systems Inc,--,--,785.05,,,,,,,,,,,,,
IBM UN Equity,International Business Machines Corp,--,--,246.9,,,,,,,,,,,,,
JNJ UN Equity,Johnson & Johnson,--,--,167.16,,,,,,,,,,,,,
LULU UW Equity,Lululemon Athletica Inc,--,--,193.515,,,,,,,,,,,,,
MCD UN Equity,McDonald's Corp,--,--,303.46,,,,,,,,,,,,,
MRK UN Equity,Merck & Co Inc,--,--,79.09,,,,,,,,,,,,,
MMM UN Equity,3M Co,--,--,144.83,,,,,,,,,,,,,
AWK UN Equity,American Water Works Co Inc,--,--,145.88,,,,,,,,,,,,,
BAC UN Equity,Bank of America Corp,--,--,45.62,,,,,,,,,,,,,
PFE UN Equity,Pfizer Inc,--,--,23.465,,,,,,,,,,,,,
PG UN Equity,Procter & Gamble Co/The,--,--,151.29,,,,,,,,,,,,,
T UN Equity,AT&T Inc,--,--,27.845,,,,,,,,,,,,,
TRV UN Equity,Travelers Cos Inc/The,--,--,258.45,,,,,,,,,,,,,
RTX UN Equity,RTX Corp,--,--,156.94,,,,,,,,,,,,,
ADI UW Equity,Analog Devices Inc,--,--,220.76,,,,,,,,,,,,,
WMT UN Equity,Walmart Inc,--,--,98.2,,,,,,,,,,,,,
CSCO UW Equity,Cisco Systems Inc,--,--,67.07,,,,,,,,,,,,,
INTC UW Equity,Intel Corp,--,--,19.235,,,,,,,,,,,,,
GM UN Equity,General Motors Co,--,--,52.39,,,,,,,,,,,,,
MSFT UW Equity,Microsoft Corp,--,--,523.67,,,,,,,,,,,,,
DG UN Equity,Dollar General Corp,--,--,108.28,,,,,,,,,,,,,
CI UN Equity,Cigna Group/The,--,--,258.18,,,,,,,,,,,,,
KMI UN Equity,Kinder Morgan Inc,--,--,28.075,,,,,,,,,,,,,
C UN Equity,Citigroup Inc,--,--,91.16,,,,,,,,,,,,,
AIG UN Equity,American International Group Inc,--,--,76.91,,,,,,,,,,,,,
MO UN Equity,Altria Group Inc,--,--,61.95,,,,,,,,,,,,,
HCA UN Equity,HCA Healthcare Inc,--,--,355.505,,,,,,,,,,,,,
IP UN Equity,International Paper Co,--,--,45.84,,,,,,,,,,,,,
HPE UN Equity,Hewlett Packard Enterprise Co,--,--,19.805,,,,,,,,,,,,,
ABT UN Equity,Abbott Laboratories,--,--,127.05,,,,,,,,,,,,,
AFL UN Equity,Aflac Inc,--,--,97.67,,,,,,,,,,,,,
APD UN Equity,Air Products and Chemicals Inc,--,--,281.79,,,,,,,,,,,,,
SMCI UW Equity,Super Micro Computer Inc,--,--,56.01,,,,,,,,,,,,,
RCL UN Equity,Royal Caribbean Cruises Ltd,--,--,312.085,,,,,,,,,,,,,
